player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,marketvalue,g/a
Tyrick Mitchell,37,3209,2,3,6,0,0.3,74.2,0.6,0,6.78,Non Big 6,Wing Back,24,25000000,5
Albert Sambi Lokonga,17,1310,1,3,4,0,0.5,89.2,0.9,0,6.78,Non Big 6,Central Midfield,24,15000000,4
Robin Olsen,5,405,0,0,0,0,0.0,79.3,0.6,0,6.78,Non Big 6,Goalkeeper,34,1500000,0
Thiago Silva,31,2528,3,1,4,0,0.5,94.9,1.7,0,6.77,Big 6,Centre-Back,39,1000000,4
Alex Iwobi,30,2205,5,2,2,0,1.7,81.8,0.2,2,6.77,Non Big 6,Attacking Midfield,28,25000000,7
Chiedozie Ogbene,30,1994,4,1,1,0,1.2,81.6,1.0,1,6.76,Non Big 6,Wing Forward,27,8000000,5
Brennan Johnson,32,2093,5,10,3,0,1.6,76.2,0.2,0,6.76,Big 6,Wing Forward,23,48000000,15
Jarell Quansah,17,1190,2,0,1,0,0.4,88.8,2.6,1,6.76,Big 6,Centre-Back,21,22000000,2
Alejandro Garnacho,36,2578,7,4,4,0,2.8,79.4,0.2,2,6.76,Big 6,Wing Forward,19,45000000,11
Rayan Aït-Nouri,33,2347,2,1,7,0,0.7,86.6,0.6,1,6.76,Non Big 6,Wing Back,22,35000000,3
Ben Godfrey,15,1123,0,0,2,0,1.0,70.8,1.7,0,6.76,Non Big 6,Centre-Back,26,10000000,0
Edson Álvarez,31,2385,1,1,11,0,0.5,86.1,1.0,0,6.76,Non Big 6,Defensive Midfield,26,35000000,2
Enzo Fernández,28,2215,3,2,7,0,1.7,86.9,0.8,1,6.75,Big 6,Central Midfield,23,75000000,5
Aaron Wan-Bissaka,22,1782,0,2,4,0,0.1,82.9,1.0,1,6.75,Big 6,Wing Back,26,20000000,2
Chris Wood,31,1810,14,1,0,0,1.5,64.5,2.4,3,6.75,Non Big 6,Centre-Forward,32,7000000,15
Andreas Pereira,37,2638,3,7,6,0,1.4,78.8,0.4,2,6.75,Non Big 6,Attacking Midfield,28,20000000,10
Joelinton,20,1281,2,1,6,0,1.0,83.9,0.9,1,6.75,Non Big 6,Central Midfield,27,40000000,3
Guglielmo Vicario,38,3420,0,0,2,0,0.0,83.7,0.6,0,6.75,Big 6,Goalkeeper,27,35000000,0
Malo Gusto,27,1756,0,6,7,1,0.6,89.2,0.3,1,6.74,Big 6,Wing Back,21,35000000,6
Callum Wilson,20,984,9,1,3,0,1.8,65.2,0.5,0,6.74,Non Big 6,Centre-Forward,32,13000000,10
Trevoh Chalobah,13,951,1,0,1,0,0.2,89.6,1.5,0,6.74,Big 6,Centre-Back,24,13000000,1
Morgan Rogers,11,640,3,1,3,0,1.0,77.1,0.6,0,6.73,Non Big 6,Wing Forward,21,15000000,4
Nathan Aké,29,2044,2,2,0,0,0.7,92.8,1.6,0,6.73,Big 6,Centre-Back,29,40000000,4
Neto,32,2880,0,0,5,0,0.0,60.2,0.3,2,6.73,Non Big 6,Goalkeeper,34,2500000,0
Pervis Estupiñán,19,1248,2,3,4,0,0.6,88.7,0.6,1,6.73,Non Big 6,Wing Back,26,30000000,5
Jan Paul van Hecke,28,2368,0,0,4,0,0.5,92.5,2.4,1,6.72,Non Big 6,Centre-Back,23,18000000,0
Jordan Beyer,15,1239,0,1,6,0,0.3,89.1,1.9,0,6.72,Non Big 6,Centre-Back,24,13000000,1
Chris Richards,26,2092,1,1,3,0,0.4,83.3,2.4,0,6.72,Non Big 6,Centre-Back,24,12000000,2
Pablo Sarabia,30,1752,4,7,5,0,1.5,77.1,0.2,1,6.72,Non Big 6,Wing Forward,32,10000000,11
Willian,31,2061,4,2,1,0,1.5,85.5,0.3,1,6.72,Non Big 6,Wing Forward,35,3000000,6
Jack Grealish,20,1004,3,1,7,0,1.1,87.7,0.2,0,6.72,Big 6,Wing Forward,28,60000000,4
Rico Henry,5,402,0,1,1,0,0.4,84.6,0.8,0,6.72,Non Big 6,Wing Back,26,20000000,1
José Sá,35,3039,0,1,1,0,0.0,59.2,0.4,1,6.72,Non Big 6,Goalkeeper,31,14000000,1
Yves Bissouma,28,2088,0,0,9,2,0.9,91.9,0.5,0,6.72,Big 6,Defensive Midfield,27,35000000,0
Mathias Jensen,32,2220,3,3,5,0,0.4,78.6,0.2,1,6.71,Non Big 6,Central Midfield,28,28000000,6
Scott McTominay,32,1893,7,1,2,0,1.4,81.5,1.2,2,6.71,Big 6,Defensive Midfield,27,32000000,8
Destiny Udogie,28,2398,2,3,5,1,0.3,87.5,0.8,0,6.71,Big 6,Wing Back,21,45000000,5
Amadou Onana,30,2094,2,0,5,0,1.0,84.9,1.8,1,6.71,Non Big 6,Defensive Midfield,22,50000000,2
Jordan Pickford,38,3420,0,0,5,0,0.0,59.4,0.0,1,6.71,Non Big 6,Goalkeeper,30,22000000,0
Emiliano Martínez,34,3016,0,0,4,0,0.0,81.4,0.1,0,6.71,Non Big 6,Goalkeeper,31,28000000,0
Nick Pope,15,1346,0,0,1,0,0.1,71.1,0.2,0,6.71,Non Big 6,Goalkeeper,32,16000000,0
Harvey Elliott,34,1339,3,6,2,0,1.4,87.7,0.3,2,6.7,Big 6,Attacking Midfield,21,35000000,9
Rasmus Højlund,30,2172,10,2,2,0,1.3,77.0,0.8,1,6.7,Big 6,Centre-Forward,21,65000000,12
Murillo,32,2793,0,2,5,0,0.5,77.6,1.2,0,6.69,Non Big 6,Centre-Back,21,35000000,2
Marcus Rashford,33,2279,7,2,2,0,1.9,79.2,0.5,0,6.69,Big 6,Wing Forward,26,60000000,9
Lucas Digne,33,2413,1,3,7,0,0.6,81.4,1.3,0,6.68,Non Big 6,Wing Back,30,12000000,4
Timo Werner,13,815,2,3,1,0,2.2,80.8,0.1,0,6.68,Big 6,Centre-Forward,28,17000000,5
Bernd Leno,38,3420,0,0,3,0,0.0,77.2,0.3,3,6.68,Non Big 6,Goalkeeper,32,13000000,0
Vitaly Janelt,38,3072,1,3,8,0,0.6,79.9,0.9,1,6.68,Non Big 6,Defensive Midfield,26,22000000,4
Luis Sinisterra,20,692,2,2,0,0,1.4,80.1,0.8,1,6.68,Non Big 6,Wing Forward,24,17000000,4
Amad Diallo,9,388,1,1,1,0,1.1,88.0,0.4,1,6.67,Big 6,Wing Forward,21,18000000,2
Stefan Ortega,9,632,0,0,0,0,0.0,78.1,0.1,0,6.67,Big 6,Goalkeeper,31,9000000,0
Thomas Partey,14,790,0,0,3,0,0.6,90.3,0.5,0,6.67,Big 6,Defensive Midfield,30,18000000,0
Sean Longstaff,35,2748,6,2,7,0,1.2,80.9,0.5,0,6.67,Non Big 6,Central Midfield,26,25000000,8
Tom Lockyer,14,1173,1,1,4,0,0.5,71.5,2.2,0,6.67,Non Big 6,Centre-Back,29,2500000,2
João Gomes,34,2660,2,1,11,0,0.8,83.3,0.5,1,6.67,Non Big 6,Central Midfield,23,35000000,3
Matty Cash,29,2144,2,2,8,0,1.1,84.0,0.5,1,6.66,Non Big 6,Wing Back,26,28000000,4
Nathan Collins,32,2650,1,1,3,0,0.3,81.5,2.3,0,6.66,Non Big 6,Centre-Back,23,25000000,2
Neco Williams,26,1634,0,1,4,0,0.6,72.4,1.2,0,6.66,Non Big 6,Wing Back,23,17000000,1
Dara O'Shea,33,2895,3,4,5,1,0.6,79.7,3.8,0,6.66,Non Big 6,Centre-Back,25,7000000,7
Lukasz Fabianski,10,721,0,0,0,0,0.0,60.3,0.2,0,6.64,Non Big 6,Goalkeeper,39,700000,0
Ezri Konsa,35,3074,1,0,5,0,0.5,92.2,0.9,0,6.64,Non Big 6,Centre-Back,26,35000000,1
Mateo Kovacic,30,1549,1,0,4,0,0.7,94.1,0.1,0,6.63,Big 6,Central Midfield,30,30000000,1
Jack Hinshelwood,12,871,3,0,1,0,1.2,84.4,0.6,1,6.63,Non Big 6,Defensive Midfield,19,16000000,3
Abdoulaye Doucouré,32,2643,7,2,7,0,1.5,78.5,0.8,0,6.63,Non Big 6,Central Midfield,31,10000000,9
Ederson,33,2789,0,0,5,0,0.0,85.9,0.3,0,6.63,Big 6,Goalkeeper,30,35000000,0
Timothy Castagne,34,2634,1,3,3,0,0.4,81.3,1.0,0,6.63,Non Big 6,Wing Back,28,17000000,4
Youri Tielemans,32,1622,2,6,3,0,0.4,86.0,0.4,1,6.63,Non Big 6,Central Midfield,27,25000000,8
Ben Davies,17,1086,1,0,2,0,0.7,91.3,1.7,0,6.62,Big 6,Wing Back,31,10000000,1
Wilson Odobert,29,2109,3,2,3,0,1.7,79.4,0.3,0,6.62,Non Big 6,Wing Forward,19,10000000,5
Djordje Petrovic,23,1986,0,0,2,0,0.0,76.4,0.3,0,6.62,Big 6,Goalkeeper,24,20000000,0
Anthony Elanga,36,2434,5,9,1,0,1.5,75.3,0.5,1,6.62,Non Big 6,Wing Forward,22,22000000,14
Harvey Barnes,21,795,5,3,2,0,1.3,79.1,0.2,0,6.61,Non Big 6,Wing Forward,26,35000000,8
Gabriel Osho,21,1848,2,0,3,0,0.5,82.5,1.8,0,6.61,Non Big 6,Centre-Back,25,3000000,2
Kristoffer Ajer,28,1836,2,1,5,0,0.4,75.9,2.3,0,6.61,Non Big 6,Centre-Back,26,15000000,3
Josh Brownhill,33,2253,4,2,4,1,0.8,80.3,1.1,1,6.61,Non Big 6,Central Midfield,28,15000000,6
