player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,league,MarketValue,Height
Samuel Lino,25,2092.0,4,5,0,0,1.6,83.3,0.3,0,6.91,Atletico,D(L),24,Spanish La Liga,25,170
Jarrad Branthwaite,35,3117.0,3,0,8,0,0.4,80.1,2.7,0,6.9,Everton,D(C),21,Other,42,195
Gabriel Jesus,17,1482.0,4,5,6,0,2.0,81.0,0.6,2,6.89,Arsenal,AM(LR),27,English Premier League,65,175
Gabriel Martinelli,24,2031.0,6,4,1,0,1.7,85.0,0.5,1,6.89,Arsenal,AM(LR),22,English Premier League,70,178
Benjamin Pavard,21,1679.0,0,2,6,0,0.7,91.6,1.5,1,6.89,Inter,D(CLR),28,Italian Serie A,50,186
Darwin Núñez,22,2050.0,11,8,9,0,3.0,71.6,0.9,0,6.89,Liverpool,AM(CL),24,English Premier League,70,187
Ruben Loftus-Cheek,26,2081.0,6,1,5,0,1.4,85.8,1.5,3,6.88,AC Milan,M(CLR),28,Italian Serie A,25,191
Kaoru Mitoma,15,1488.0,3,4,4,0,1.8,83.4,0.6,1,6.88,Brighton,M(L),27,English Premier League,45,178
Angel Gomes,29,2583.0,0,8,5,0,1.1,91.3,0.2,0,6.88,Lille,M(CL),23,French Ligue 1,22,168
Martín Zubimendi,29,2655.0,4,1,5,0,0.7,86.4,1.4,3,6.88,Real Sociedad,DMC,25,Spanish La Liga,50,181
Jean-Philippe Mateta,25,2285.0,16,5,3,0,1.3,73.8,1.4,2,6.88,Crystal Palace,FW,26,English Premier League,20,192
Joachim Andersen,38,3418.0,2,3,7,0,0.6,79.5,2.4,4,6.88,Crystal Palace,D(C),28,English Premier League,35,192
Jules Koundé,32,2899.0,1,2,4,0,0.7,90.8,2.0,2,6.86,Barcelona,D(CR),25,Spanish La Liga,50,180
Marcus Tavernier,25,2134.0,3,4,3,0,1.8,79.3,0.4,1,6.86,Bournemouth,M(CLR),25,English Premier League,20,178
Simon Adingra,25,2233.0,6,1,3,0,1.7,81.1,0.3,3,6.86,Brighton,M(LR),22,English Premier League,30,175
Gregor Kobel,27,2366.0,0,0,1,0,0.0,81.9,0.2,1,6.84,Borussia Dortmund,GK,26,German Bundesliga,40,196
André Onana,38,3420.0,0,0,5,0,0.0,70.4,0.4,2,6.84,Man Utd,GK,28,English Premier League,35,190
Noni Madueke,13,1057.0,5,2,2,0,1.4,88.5,0.3,2,6.84,Chelsea,AM(R),22,English Premier League,28,182
James Garner,34,3006.0,1,2,7,0,1.1,82.8,0.7,0,6.84,Everton,M(CR),23,Other,22,182
Marquinhos,18,1540.0,0,1,1,0,0.2,94.5,1.1,0,6.84,PSG,D(CR),30,Other,55,183
Ibrahima Konaté,17,1571.0,0,0,3,1,0.5,88.0,3.5,0,6.84,Liverpool,D(C),25,English Premier League,45,194
Romelu Lukaku,30,2648.0,13,3,5,1,2.0,72.4,1.6,4,6.83,Roma,AM(R),31,Italian Serie A,30,191
Richarlison,18,1493.0,11,4,3,0,2.2,70.9,0.9,1,6.83,Tottenham,AM(CLR),27,English Premier League,38,184
Rúben Dias,28,2558.0,0,0,0,0,0.7,94.1,1.6,0,6.83,Man City,D(C),27,English Premier League,80,187
Benjamin Sesko,17,1532.0,14,2,0,0,1.5,66.6,1.2,2,6.83,RBL,FW,21,Spanish La Liga,40,195
Rayan Cherki,19,1723.0,1,6,0,0,1.7,81.1,0.1,1,6.83,Lyon,AM(CLR),20,Other,25,177
Martin Terrier,19,1533.0,7,3,2,1,1.6,80.2,1.4,2,6.83,Rennes,AM(CL),27,French Ligue 1,25,184
Warren Zaïre-Emery,21,1963.0,2,3,4,0,0.5,92.4,0.3,0,6.83,PSG,DMC,18,Other,60,178
Levi Colwill,20,1800.0,1,1,2,0,0.5,83.4,1.9,2,6.82,Chelsea,D(CL),21,English Premier League,50,187
Jørgen Strand Larsen,36,2889.0,13,3,5,0,2.2,70.1,2.0,1,6.82,Celta Vigo,FW,24,Spanish La Liga,20,193
Marc Cucurella,20,1786.0,0,2,10,0,0.4,86.7,1.2,0,6.81,Chelsea,D(CL),25,English Premier League,25,173
Dominik Szoboszlai,25,2110.0,3,2,1,0,1.8,87.3,0.4,1,6.81,Liverpool,AM(CLR),23,English Premier League,75,187
Oleksandr Zinchenko,20,1727.0,1,2,2,0,0.6,89.4,1.0,3,6.81,Arsenal,D(L),27,English Premier League,38,175
Raheem Sterling,22,1983.0,8,4,7,0,1.6,79.3,0.1,2,6.8,Chelsea,M(CLR),29,English Premier League,35,170
Kobbie Mainoo,24,1942.0,3,1,3,0,0.5,86.7,0.8,0,6.8,Man Utd,DMC,19,English Premier League,50,175
Lucas Chevalier,33,2970.0,0,0,1,0,0.0,74.9,0.2,3,6.8,Lille,GK,22,French Ligue 1,22,189
Guido Rodríguez,22,1852.0,2,0,6,0,0.8,85.9,0.9,1,6.8,Real Betis,DMC,30,Spanish La Liga,24,185
Pablo Barrios,17,1559.0,0,1,5,0,0.7,85.9,0.6,0,6.79,Atletico,M(C),20,Spanish La Liga,25,181
Boubacar Kamara,20,1662.0,0,1,7,1,0.3,89.3,1.0,0,6.79,Aston Villa,D(CL),24,English Premier League,38,184
Mohamed Simakan,23,2140.0,2,3,8,0,0.9,86.3,1.9,1,6.79,RBL,D(CR),24,Spanish La Liga,35,187
Micky van de Ven,27,2344.0,3,0,5,0,0.3,94.3,1.4,1,6.79,Tottenham,D(CL),23,English Premier League,55,193
Facundo Medina,30,2714.0,1,3,11,0,0.6,87.0,1.2,1,6.79,Lens,D(CL),25,French Ligue 1,25,184
Rodrigo Muniz,18,1598.0,9,1,1,0,2.8,62.1,2.9,2,6.79,Fulham,FW,23,English Premier League,20,186
Giorgi Mamardashvili,37,3289.0,0,0,3,1,0.0,46.9,0.3,4,6.79,Valencia,GK,23,Spanish La Liga,35,197
Fabián Ruiz,14,1195.0,1,3,3,0,0.9,90.1,0.2,1,6.78,PSG,M(CL),28,Other,30,189
Kevin Danso,30,2656.0,1,0,6,0,0.7,88.1,1.9,0,6.78,Lens,D(C),25,French Ligue 1,25,190
Weston McKennie,29,2603.0,0,7,6,0,0.7,80.8,1.1,1,6.78,Juventus,D(C),25,Italian Serie A,25,185
Amine Adli,8,892.0,4,4,5,0,1.2,82.9,0.9,1,6.78,Leverkusen,AM(CLR),24,Other,25,174
Tyrick Mitchell,37,3209.0,2,3,6,0,0.3,74.2,0.6,0,6.78,Crystal Palace,D(L),24,English Premier League,25,175
Edmond Tapsoba,23,2085.0,0,1,4,0,0.4,91.4,1.4,0,6.78,Leverkusen,D(C),25,Other,40,194
Robin Le Normand,28,2473.0,2,0,13,0,0.3,88.6,3.9,1,6.77,Real Sociedad,D(C),27,Spanish La Liga,40,187
Pau Cubarsí,18,1563.0,0,0,4,0,0.2,91.7,1.5,0,6.77,Barcelona,D(C),17,Spanish La Liga,25,184
Alex Iwobi,25,2205.0,5,2,2,0,1.7,81.8,0.2,2,6.77,Fulham,M(CLR),28,English Premier League,25,183
Alejandro Garnacho,30,2578.0,7,4,4,0,2.8,79.4,0.2,2,6.76,Man Utd,AM(LR),19,English Premier League,45,180
Mathys Tel,6,1031.0,7,5,2,0,1.4,85.0,0.5,0,6.76,Bayern,Forward,19,German Bundesliga,40,183
Rayan Aït-Nouri,29,2347.0,2,1,7,0,0.7,86.6,0.6,1,6.76,Wolves,D(L),22,English Premier League,35,180
Patrik Schick,12,1065.0,7,0,1,0,2.0,79.8,1.2,1,6.76,Leverkusen,AM(R),28,Other,22,191
Edson Álvarez,28,2385.0,1,1,11,0,0.5,86.1,1.0,0,6.76,West Ham,D(C),26,English Premier League,35,190
Fikayo Tomori,24,2125.0,4,0,6,1,0.7,91.3,1.1,1,6.75,AC Milan,D(CR),26,Italian Serie A,40,185
Konrad Laimer,18,1770.0,0,3,3,0,0.6,90.2,0.4,0,6.75,Bayern,D(R),27,German Bundesliga,28,180
Joelinton,15,1281.0,2,1,6,0,1.0,83.9,0.9,1,6.75,Newcastle,AM(CLR),27,English Premier League,40,186
Guglielmo Vicario,38,3420.0,0,0,2,0,0.0,83.7,0.6,0,6.75,Tottenham,GK,27,English Premier League,35,194
Piero Hincapié,16,1484.0,1,2,2,0,0.7,91.8,1.4,0,6.74,Leverkusen,D(CL),22,Other,35,184
Mario Hermoso,29,2558.0,0,1,9,0,0.5,87.1,1.5,1,6.74,Atletico,D(CL),28,Spanish La Liga,25,184
José Gayà,22,1799.0,1,2,2,0,0.4,79.2,0.5,0,6.74,Valencia,D(L),29,Spanish La Liga,30,172
